text,domain,regulation_id,doc_type,document,chapter,section,article,breadcrumb,title,has_reference,id
"Article 2.3.4 > Clause 2.3.4 — Measure and record the head restraint geometry
Table
| record record
CP X CP X
mid down
DOWN
CP Z → CP Z →
MOST
calculated calculat ed | | | |
|---|---|---|---|
| | | CP X
mid | |
| | | | |
| CP Z →
calc | | | |
| | | | |
| | | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.3.4,Article 2.3.4 > Clause 2.3.4 — Measure and record the head restraint geometry,Table (p.21),False,a55b55e9-33ac-475f-a159-d299d22b7054
"Article 2.3.4 > Clause 2.3.4 — Measure and record the head restraint geometry
Table
| head restraint in
highest adjustment
position determines
IP point | | |
|---|---|---|
| | | |
| | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.3.4,Article 2.3.4 > Clause 2.3.4 — Measure and record the head restraint geometry,Table (p.22),False,92526d13-cc7b-4094-ad20-8c87138c14b5
"Article 2.3.4 > Clause 2.3.4 — Measure and record the head restraint geometry
Table
| distance X | | |
|---|---|---|",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.3.4,Article 2.3.4 > Clause 2.3.4 — Measure and record the head restraint geometry,Table (p.23),False,47dc2988-3a8e-4106-ace3-38cb51351d2d
"Article 2.3.5 > Clause 2.3.5 — Measure and record reference geometry for BioRID Setup.
Back of the head reference position The theoretical back of the head reference position for the BioRID UN, used to determine the reference backset, is the value determined for the 50th percentile in APPENDIX C with reference to the specified torso angle minus 15 mm (increasing the backset as shown in Figure 17). R50-point design torso angle Euro NCAP Version 1.1 — September 2025 21 Figure 17: Measuring BioRID reference backset.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.3.5,Article 2.3.5 > Clause 2.3.5 — Measure and record reference geometry for BioRID Setup.,Measure and record reference geometry for BioRID Setup.,False,d0f6534b-b4df-45c6-a18a-f6aabe39a1af
"Article 2.3.6 > Clause 2.3.6 — Install BioRID
The seat should have already been set to the required angle measured on the H-point manikin as described in Section 2.2. Allow the seat to recover for 15 minutes with nothing in it before installing the BioRID. BioRID handling should only be undertaken using dedicated lifting tools and associated locations on the dummy following the BioRID manufacturer recommendations. Typically, during the installation of BioRID the H-point will initially be installed further rearward in the seat than is required. Therefore, the pelvis should be moved forward to achieve the target set-up positioning. Carefully place the seat belt across the dummy and lock as normal, ensure there is sufficient slack in the belt to allow positioning of BioRID. Align BioRID’s mids gitt l pl ne with the cent eline of the se t. Adjust BioRID’s mids gitt l pl ne to be ve tic l; the inst ument tion pl tfo m in the he d should be laterally level. Adjust the pelvis angle to the design torso angle plus +1.5° ± 2.5°. Position the H-Point 20mm forward (± 10mm) and at the same Z-height (± 10mm) as the location recorded in Section 2.2.1 or 2.2.2, while keeping the pelvis angle within the range specified above. It is recommended to aim to set the ATD as close as possible to the nominal target values, and that the tolerance window should only be used if there is an issue achieving the required H- Point target or backset value. However, where it is not possible to position the H-point with the specified tolerance, position the H-Point close as possible to the nominal target values. The BioRID setup tolerances are summarised below. Adjust the spacing of the legs so that the centreline of the knees and ankles is 200mm (±10mm) apart and ensure that the knees are level using an inclinometer or bubble gauge. Euro NCAP Version 1.1 — September 2025 22 Adjust the dummy’s feet so th t the heel of BioRID’s shoe is esting on the heel su f ce. The tip of the shoe shall rest on the toe pan between 230mm and 270mm from the intersection of the heel surface and toe board, as measured along the surface of the toe board. Figure 2 shows proper positioning of the feet. Note, the heel point from a vehicle is not replicated, only heel plane height is set according to vehicle geometry. Position the BioRID’s ms so th t the uppe ms e s close to the to so sides s possible. The rear of the upper arms should contact the seatback, and the elbows should be bent so that the small fingers of both hands are in contact with the top of the vehicle seat cushion with the p lms f cing the dummy’s thighs. The ms m y be used to st bilise the dummy postu e if needed, for example with steep seat back angles, once the torso has been pushed rearwards to achieve the required backset. Level the instrumentation plane of the head (front/rear and left/right directions) to within ± 1º. Electronic tilt sensors shall be used to perform this check. If the BioRID measured backset is different from the BioRID reference, then do the following: a) Tip the head fore/aft no more than 3.5° fore / 1° aft from level in order to meet the backset requirement. b) If the BioRID backset cannot be brought closer to the BioRID reference backset ± 5mm by step a), adjust the pelvis angle and H-point position within their respective tolerance bands. In this case begin again with pelvis and torso angle adjustment above reposition the BioRID accordingly. c) If the BioRID backset cannot be brought closer to the BioRID reference position after adjustment of the head angle as specified above and if it is still not possible to set the test dummy backset measurement to within 15 ± 5mm of the Back of the Head reference position, then the dummy’s pelvis ngle nd the H-point position shall be adjusted within their respective tolerance bands while prioritising the adjustment of the pelvis angle tolerance to achieve correct backset. It is not permitted to achieve the required position by pushing the dummy rearward, resulting in pre-loading of the BioRID, but the arms may be used to stabilise the torso. Where it is not possible to position the dummy in accordance with all four tolerances, prioritise the dummy positions as detailed in the BioRID setup summary table below. I.e. highest priority is given to the backset and lowest priority to the pelvic angle. Remove the slack from the lap section of the webbing until it is resting gently around the pelvis of the dummy. Only minimal force should be applied to the webbing when removing the slack. The route of the lap belt should be as natural as possible and must be above the pelvic angle gauge. Place one finger behind the diagonal section of the webbing at the height of the dummy sternum. Pull the webbing away from the chest horizontally forward and allow it to retract in the direction of the D-loop using only the force provided by the retractor mechanism. Repeat this step three times, only. Once the belt is positioned the location of the belt should be marked across the dummy chest to ensure that no further adjustments are made. Euro NCAP Version 1.1 — September 2025 23 BioRID setup summary. Location Target measure Tolerance Backset 15mm forward* ±5mm H-point – x-axis +20mm forward** ±10mm H-point – z-axis 0mm** ±10mm Head plane angle 0° level ±1.0° 3.5° fore / -1.0° aft Pelvis angle Torso design angle +1.5° ±2.5° * Reference measurements taken in accordance with Section 2.3.5. **Reference taken in accordance with Section 2.2.1. Euro NCAP Version 1.1 — September 2025 24 VUT preparation – Rear seats Before assessment, the manufacturer will be asked to provide ride heights for the vehicle in the unladen kerb state.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.3.6,Article 2.3.6 > Clause 2.3.6 — Install BioRID,Install BioRID,True,077e57b8-8e2a-4875-b7c9-0e5c286e81c0
"Article 2.3.6 > Clause 2.3.6 — Install BioRID
Table
| | | | | | | | | |
|---|---|---|---|---|---|---|---|---|
| | Location | | | Target measure | | | Tolerance | |
| | | | | | | | | |
| Backset | | | 15mm forward* | | | ±5mm | | |
| H-point – x-axis | | | +20mm forward** | | | ±10mm | | |
| H-point – z-axis | | | 0mm** | | | ±10mm | | |
| Head plane angle | | | 0° level | | | ±1.0°
3.5° fore / -1.0° aft | | |
| | Pelvis angle | | Torso design angle +1.5° | | | ±2.5° | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.3.6,Article 2.3.6 > Clause 2.3.6 — Install BioRID,Table (p.27),False,c2ef18be-d3eb-42f5-a052-04d0141fe9d2
"Article 2.3.6 > Clause 2.3.6 — Install BioRID
Table
| | | | | | |
|---|---|---|---|---|---|
| | Adjustment | | | Required setting | |
| | | | | | |
| | Fore / aft | | Fully rearward locking position | | |
| Height | | | Lowest position | | |
| Seat back angle | | | Nominal HPM torso angle of 25°. | | |
| Seat tilt | | | Mid position | | |
| Cushion height | | | Lowest | | |
| Cushion tilt | | | Mid position | | |
| Lumbar support | | | Fully retracted | | |
| Upper seat back | | | Where separately adjustable from the lower portion, the upper shall be
rotated fully rearward | | |
| | Cushion length | | Fully retracted | | |
| | Side bolsters | | Widest position | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.3.6,Article 2.3.6 > Clause 2.3.6 — Install BioRID,Table (p.28),False,7c642eb0-a3ec-4010-90ec-649509709652
"Article 2.4.1 > Clause 2.4.1 — Vehicle preparation
If the vehicle is equipped with a foldable roof, sunroof, sunroof blind, position to the closed position. Retract any rear glazing blinds. Do not remove floor mats when fitted as standard. Set all first row seats fully forward and into the highest position. Ensure that the differences between ride-heights are the same as those provided by the manufacturer. The absolute values of ride-heights do not matter. Make sure the vehicle is stable by supporting the vehicle on the jacking points as shown in the vehicle handbook.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.4.1,Article 2.4.1 > Clause 2.4.1 — Vehicle preparation,Vehicle preparation,False,906f27d9-fb9a-4372-b228-48194e380139
"Article 2.4.2 > Clause 2.4.2 — Second and third row seating setup
The manufacturer will be asked to provide seat adjustment information before the assessment is done, this information does not need to be in the vehicle handbook. Set all seat adjustments to the positions specified by the manufacturer for a 50 th percentile occupant. Where the manufacturer has not provided seat adjustment specifications, or for particular adjustments where no specifications have been provided, set the seat using all or some of steps identified below. See also APPENDIX D for details of how to set head restraint positions. For third row assessments, set all second row seats into their fully forward and highest position if possible. Adjustment Required setting Fore / aft Fully rearward locking position Height Lowest position Seat back angle Nominal HPM torso angle of 25°. Seat tilt Mid position Cushion height Lowest Cushion tilt Mid position Lumbar support Fully retracted Upper seat back Where separately adjustable from the lower portion, the upper shall be rotated fully rearward Cushion length Fully retracted Side bolsters Widest position Euro NCAP Version 1.1 — September 2025 25 Head restraint Height: As per Section 2.5.4 Fore/aft or tilt: As per Section 2.5.4 Arm-rests Raised / not in use position Head restraint measurement - Rear seats",injury,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.4.2,Article 2.4.2 > Clause 2.4.2 — Second and third row seating setup,Second and third row seating setup,False,dc7c484e-d1ad-41b0-84e5-3f470ec0a875
"Article 2.4.2 > Clause 2.4.2 — Second and third row seating setup
Table
| Head restraint | | | Height: As per Section 2.5.4
Fore/aft or tilt: As per Section 2.5.4 |
|---|---|---|---|
| | Arm-rests | | Raised / not in use position |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.4.2,Article 2.4.2 > Clause 2.4.2 — Second and third row seating setup,Table (p.29),False,a6c011fe-a56b-4768-8e5c-6c41347ae54c
"Article 2.5.1 > Clause 2.5.1 — Determination of seat centreline C/LO
Refer to manufacturer specifications for the C/LO. If manufacturer specifications are not available, find C/LO as follows: For seats with defined bolsters, or individual auxiliary seats, C/LO is the centreline of the seat. For bench seats (or other) seats, C/LO is the middle of the head restraint. If a head restraint is not fitted, find C/LO between the belt anchors. If the C/LO cannot be found with the procedures above, the C/LO shall be located 381mm outboard from the vehicle centreline.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.1,Article 2.5.1 > Clause 2.5.1 — Determination of seat centreline C/LO,Determination of seat centreline C/LO,False,0918d1f5-c62d-4688-bd12-8e92f2991e59
"Article 2.5.2 > Clause 2.5.2 — H-Point installation
Measure the location of the H-point manikin on all relevant seats using the procedure defined in Technical Bulletin CP 302.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.2,Article 2.5.2 > Clause 2.5.2 — H-Point installation,H-Point installation,False,a15c43ea-b81e-4877-a588-cb232e8d05df
"Article 2.5.3 > Clause 2.5.3 — HPM measurement
All CMM measurements are relative to the manufacturer specified car alignment coordinate system or a suitable Cartesian coordinate system if not specified. Record all measurements to 0.1mm precision. For the purposes of this protocol the X-Axis is positive rearward and the Z-Axis is positive upward. With a CMM or other means measure and record the X, Y and Z-coordinates for the left and right H-points. Compare the left hand and right hand X and Z-coordinates. If the related X and Z-coordinates are not within 5.0mm of each other repeat the H-point manikin installation. Measure and record the torso angle in the vehicle XZ-plane on the calibrated block attached to the weight hanger bar to 0.1 degree precision. Repeat the H-point manikin installation two more times. Calculate the average for the three HPM installations measurements (HPM H-point coordinates and torso angle). Record these values. If the average values recorded in the sentence above are within the following tolerances of the manufacturer specified values: Euro NCAP Version 1.1 — September 2025 26 Torso angle: ± 3° HPM X and Z: ± 25mm, then the manufacturer-defined values shall be used in all subsequent calculations. Otherwise, the recorded average values shall be used.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.3,Article 2.5.3 > Clause 2.5.3 — HPM measurement,HPM measurement,False,6592502b-96c4-43b4-92d0-ae3bdb5d37d1
"Article 2.5.4 > Clause 2.5.4 — Head restraint measurement
Contact Point and Backset In this section, the distance between the head restraint and the back of the 50 th percentile male head (backset) is determined at two head restraint positions: mid position and worst case (lowest and most rearward). The backset and contact point (CP) in the mid position is subsequently used as part of the determination of the intersection point (IP). Mark a line showing the C/LO ±5mm along the A-Surface of the head restraint. Using the values of torso angle and H point determined in section 2.5.3, calculate the Contact Point Z-coordinate, CP Z, which represents the height of the rearmost point of the head of a 50 th percentile male. 𝐶𝑃 𝑍= 504.5 cos(𝑇𝑜𝑟𝑠𝑜 𝐴𝑛𝑔𝑙𝑒−2.6) + 203 + 𝐻𝑃𝑀 𝑍 Set the head restraint to the mid position (see definitions and Annex A). For head restraints with locking tilt positions, it will be necessary to mark and measure CP with the restraint in the most forward and most rearward positions in order to find its location and coordinates with the head restraint in the mid-tilt position. Use a CMM or other means to mark the CP Z-coordinate (±2.5mm) on the C/LO line. This point is known as the Contact Point, CP. a) If the CP Z-coordinate cannot be marked on the A-Surface of the head restraint (because the head restraint is below the CP Z-coordinate), record the CP Z-coordinate as the highest point on the C/LO line. If more than one point is at the highest point record the most forward point. b) If the CP Z-coordinate cannot be marked on the A-Surface of the head restraint as the CP Z-coordinate relates to a gap in the head restraint, CP will be determined using a 165mm diameter sphere with its centre at the same height as the CP Z-coordinate. When the sphere is making first contact with the head restraint, CP is designated as the rearmost point of the sphere in the gap area, see Figure 18. Euro NCAP Version 1.1 — September 2025 27 Figure 18: Definition of CP when there is a gap in the head restraint. Figure 19: Contact Point. Record the X-coordinate of the Contact Point. Record this as (CP X). Calculate the CP X-coordinate relative to the HPM X-coo din te, (Δ P X) mid . (𝜟𝑪𝑷 𝑿) 𝒎𝒊𝒅 = 𝑪𝑷 𝑿 𝒎𝒊𝒅 −𝑯𝑷𝑴 𝑿 Euro NCAP Version 1.1 — September 2025 28 Figure 20: Calculation of Backset. Set the head restraint to the Lowest Use and most rearward position (see definitions and Annex A). Repeat steps marking CP Z-coordinate on the C/LO line and calculating CP X-coordinate relative to HPM X-coordinate to c lcul te (Δ P X) wc (𝜟𝑪𝑷 𝑿) 𝑾𝑪 = 𝑪𝑷 𝑿 𝑾𝑪 −𝑯𝑷𝑴 𝑿",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.4,Article 2.5.4 > Clause 2.5.4 — Head restraint measurement,Head restraint measurement,False,98cf77fd-10bb-42e4-897a-6f8d4b820082
"Article 2.5.5 > Clause 2.5.5 — Intersection point
He e, the ‘Inte section Point’ is est blished. To do this, the position of the cont ct point P mid is extended rearward by a distance corresponding to the difference between the rearmost point of a 50 th percentile male and a 95 th percentile male. The point on the restraint corresponding to this X coordinate is marked as IP on the head restraint, when the restraint is in its highest position. Calculate the Intersection Point X-coordinate, IP X, which represents the additional distance in X between the back of the head of a 50th percentile male and a 95th percentile male. 𝐼𝑃 𝑋= 88.5 ∙sin(𝑇𝑜𝑟𝑠𝑜 𝐴𝑛𝑔𝑙𝑒 (0) −2.6) + 5 + 𝐶𝑃 𝑋 (0) a) This formula derives from the subtraction of two goniometric formulae which, respectively, give the X position of the back of the head of a large male and that of a mid-sized male: (593 ∙sin(𝑇𝑜𝑟𝑠𝑜 𝐴𝑛𝑔𝑙𝑒−2.6) + 76) −(504.5 ∙sin(𝑇𝑜𝑟𝑠𝑜 𝐴𝑛𝑔𝑙𝑒 −2.6) + 71) = 88.5 ∙sin(𝑇𝑜𝑟𝑠𝑜 𝐴𝑛𝑔𝑙𝑒−2.6) + 5 Place the head restraint in the Highest Use and mid-tilt position, see definitions and APPENDIX D. Euro NCAP Version 1.1 — September 2025 29 On the surface given by the C/LO line, find the highest point and record the related X-coordinate. Figure 21: Intersection Point. Use a CMM or other means to mark the IP X-coordinate (±2.5mm) on the C/LO line. If the IP X- coordinate is rearward of the X-coordinate value, record the X-coordinate as IP X. On the surface given by the C/LO line and the IP X point, record the Z-coordinate of the IP X mark. Record this point as Intersection Point Z (IP Z). Calculate the IP X-coordinate relative to the HPM X-coo din te, (ΔIP X)high. (𝛥𝐼𝑃 𝑋) ℎ𝑖𝑔ℎ = 𝐼𝑃 𝑋−𝐻𝑃𝑀 𝑋 Calculate the IP Z-coordinate relative to the HPM Z-coo din te, (ΔIP Z)high. 2.5.5.1 (𝛥𝐼𝑃 𝑍) ℎ𝑖𝑔ℎ = 𝐼𝑃 𝑍−𝐻𝑃𝑀 𝑍 Place the head restraint in the Lowest Use and most rearward position, see definitions and APPENDIX D. Using the IP-point marked earlier for all relevant head restraint positions, c lcul te ΔIP X nd ΔIP Z fo this he d est int position nd eco d s (ΔIP X) WC nd (ΔIP Z) WC",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.5,Article 2.5.5 > Clause 2.5.5 — Intersection point,Intersection point,False,6ecf854f-a158-4692-b402-f7518e6cceb3
"Article 2.5.6 > Clause 2.5.6 — Effective height
In this section, the effective height of the Intersection Point is determined in the highest and in the worst-case (lowest and most rearward) head restraint positions. Calculate the Effective Height for the highest and for the worst-case (lowest, most rearward) in- use positions, using the appropriate values determined in the previous sections. 𝑬𝒇𝒇𝒆𝒄𝒕𝒊𝒗𝒆 𝑯𝒆𝒊𝒈𝒉𝒕 = (𝜟𝑰𝑷 𝑿) ∙𝐬𝐢𝐧(𝑻𝒐𝒓𝒔𝒐 𝑨𝒏𝒈𝒍𝒆) + (𝜟𝑰𝑷 𝒁) ∙𝐜𝐨𝐬( 𝑻𝒐𝒓𝒔𝒐 𝑨𝒏𝒈𝒍𝒆) Euro NCAP Version 1.1 — September 2025 30 Figure 22: Effective Height. Record the values as (Effective Height) high and (Effective Height) WC.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.6,Article 2.5.6 > Clause 2.5.6 — Effective height,Effective height,False,d482a53b-8a62-45a2-afe2-979ccf0a57cd
"Article 2.5.7 > Clause 2.5.7 — Non-use position measurement
2.5.7.1 Automatic Return Head Restraints Weight-based systems a) Set the head restraint in the non-use position. b) Position a 5th percentile female Hybrid III test dummy in the seat aligned with the CL/O and parallel to the XZ-plane. c) Hold the dummy's thighs down and push rearward on the upper torso to maximize the dummy's pelvic angle. d) Place the tibias as near to 90° to the thighs as possible. Push rearward on the dummy's knees to force the pelvis into the seat so there is no gap between the pelvis and the seat back or until the back of the dummy's calves touch the front of the seat cushion. e) Start the vehicle engine or turn on the master control switch. Record whether or not the head restraint moves to a use position. 2.5.7.2 Capacitance-based systems a) Set the head restraint in the non-use position. b) Turn on the ignition or start the vehicle engine. c) Sit a person of mass 75+/-10kg in the seat. d) Record whether or not the head restraint moves to a use position. e) Repeat the above steps in different types of clothing (light summer clothing; thick, padded winter clothing) to ensure repeatable operation of the automatic return system. 2.5.7.3 60° rotation evaluation Set the head restraint in the lowest use locking position. Euro NCAP Version 1.1 — September 2025 31 Position a digital inclinometer (which can measure to a precision of 0.1°) on a suitable surface of the head restraint. Record the angle measurement. Fold or retract the head restraint forwards to the non-use position and record the angle again. Subtract the folded/retracted angle from the angle recorded on the head restrain surface. 2.5.7.4 10° torso line change Set the head restraint into the non-use position. Install the HPM using the procedures in Section 2.5.2 and record the torso angle. Subtract the torso angle measured in the line above from the torso angle of the HPM in Section 2.5.3 and record the value. 2.5.7.5 Discomfort metric Set the head restraint into the non-use position. On the surface given by the C/LO line, find the lowest point on the head restraint (TH) and record the related X-coordinate and Z-coordinate. Calculate the X-coordinate recorded in the line above relative to the HPM X-coo din te, (ΔX). 𝛥𝑋= 𝑋 0 −𝐻𝑃𝑀 𝑋 Calculate the Z-coordinate recorded above relative to the HPM Z-coo din te, (ΔZ). 𝛥𝑍= 𝑍 0 −𝐻𝑃𝑀 𝑍 Calculate H LE (the height of the lowest point on the head restraint (T H ) relative to the HPM H- Point), using: 𝑯 𝑳𝑬 = 𝜟𝑿∙𝐬𝐢𝐧(𝑻𝒐𝒓𝒔𝒐 𝑨𝒏𝒈𝒍𝒆) + 𝜟𝒁∙𝐜𝐨𝐬( 𝑻𝒐𝒓𝒔𝒐 𝑨𝒏𝒈𝒍𝒆) Using the measuring device in APPENDIX E determine the thickness (S). Euro NCAP Version 1.1 — September 2025 32 Figure 23: Discomfort Metric Geometric Requirements. Euro NCAP Version 1.1 — September 2025 33 3 TEST PROCEDURE Summary Occupants Assessment Score Total points Front Geometry Test position 0 / + 1.0 1 Lowest and rearmost 0.5 Dynamic High severity 1.5 3 Low severity 1.5 Rear Effective height Highest position ≥770mm 0.375 Lowest position ≥720mm (Δ P X)*mid <= (Δ P X)LIMIT 0.25 (Δ P X)*wc <= (Δ P X)LIMIT 0.125 Non-use position 0.25 * Points can be scored for backset only if the effective height requirements are met.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.7,Article 2.5.7 > Clause 2.5.7 — Non-use position measurement,Non-use position measurement,False,6b62d7fa-e940-4c52-a664-c00ffcfb784e
"Article 2.5.7 > Clause 2.5.7 — Non-use position measurement
Table
| | Occupants | | | Assessment | | | Score | | | Total points | |
|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 / + 1.0
Test position
Geometry 1
Lowest and rearmost 0.5
Front
High severity 1.5
Dynamic 3
Low severity 1.5 | | | | | | | | | | | |
| Highest position ≥770mm
Effective height 0.375
Lowest position ≥720mm
Rear (Δ P X)*mid <= (Δ P X)LIMIT 0.25 1
(Δ P X)*wc <= (Δ P X)LIMIT 0.125
Non-use position 0.25 | | | | | | | | | | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.7,Article 2.5.7 > Clause 2.5.7 — Non-use position measurement,Table (p.37),False,bc2d97a0-ca4e-4f38-97e4-7eaa1e67c0f7
"Article 2.5.7 > Clause 2.5.7 — Non-use position measurement
Table
| | Static measurements | | | | HPL | | | LPL | |
|---|---|---|---|---|---|---|---|---|---|
| Test position 825mm 790mm
Effective height
Lowest and rearmost - 790mm | | | | | | | | | |
| Test position - 45mm
Backset
Lowest and rearmost - 70mm | | | | | | | | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,2.5.7,Article 2.5.7 > Clause 2.5.7 — Non-use position measurement,Table (p.37),False,034b8fc3-c002-4850-9d50-be77dbcfdac1
"Article 3.1.1 > Clause 3.1.1 — Front seat geometric assessment
The assessment is based on the worst performing parameter from either the height or backset. Static measurements HPL LPL Effective height Test position 825mm 790mm Lowest and rearmost - 790mm Backset Test position - 45mm Lowest and rearmost - 70mm 3.1.1.1 Lowest & rearmost 0.5/n points (where n = the number of front seats) will be available for each front seat scoring more than 0 points in the lowest and rearmost geometry assessment. For seats where the occupant must adjust the head restraint, the worst case geometry shall be measured in the lowest and rearmost position regardless of whether or not the seat is equipped with an active head restraint. Alternatively, a means of ensuring that the head restraint is correctly positioned for different sized occupants without specific occupant action shall be offered. For these automatically adjusting head restraints, the lowest and rearmost geometry assessment shall be measured in the position as obtained in Section 2.1.7. This credit will only be available to seats performing well dynamically, with a raw score greater than 1.50 points after capping and all modifiers have been applied. Euro NCAP Version 1.1 — September 2025 34 3.1.1.2 Seat structure assessment Where the head restraint structure requirement is not met 0 points will be awarded for the overall geometric assessment. Head restraint structure assessment Seat back position MDP Head restraint position Lowest Procedure Integrated head restraints - Determine the intersection point of the plane which is 540mm distant from the design H-point perpendicular to the design torso line and the front surface of the head restraint which is situated in the vertical, longitudinal plane through the design H-point. Record coordinates of the intersection point and remove parts of less than 50 Shore A from the seat back and the head restraint. Place a cylinder of diameter 120mm +1/-0mm horizontally, but with its lowest edge not lower than the intersection point. The head restraint structure shall not allow the cylinder to pass from the front to the rear through the head restraint structure. Non-integrated head restraints - Remove from the seat back and head restraint parts of less than 50 Shore A. Draw a horizontal tangent to the top the seat back (structure) in the vertical, longitudinal plane through the design H-point. Place a cylinder of diameter 120mm +1/-0mm horizontally, but with its lowest edge not lower than the horizontal tangent. The head restraint structure shall not allow the cylinder to pass from the front to the rear through the head restraint structure. Requirement The head restraint structure shall not allow the cylinder to pass from the front to the rear through the head restraint structure. Euro NCAP Version 1.1 — September 2025 35",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,3.1.1,Article 3.1.1 > Clause 3.1.1 — Front seat geometric assessment,Front seat geometric assessment,False,c7180424-ec26-4e65-b5c2-a36507665594
"Article 3.1.1 > Clause 3.1.1 — Front seat geometric assessment
Table
| | Head restraint structure assessment | |
|---|---|---|
| Seat back position MDP | | |
| Head restraint position Lowest | | |
| Integrated head restraints - Determine the intersection point of the plane
which is 540mm distant from the design H-point perpendicular to the design
torso line and the front surface of the head restraint which is situated in the
vertical, longitudinal plane through the design H-point.
Record coordinates of the intersection point and remove parts of less than 50
Shore A from the seat back and the head restraint.
Place a cylinder of diameter 120mm +1/-0mm horizontally, but with its lowest
edge not lower than the intersection point.
The head restraint structure shall not allow the cylinder to pass from the front
to the rear through the head restraint structure.
Procedure
Non-integrated head restraints - Remove from the seat back and head
restraint parts of less than 50 Shore A.
Draw a horizontal tangent to the top the seat back (structure) in the vertical,
longitudinal plane through the design H-point.
Place a cylinder of diameter 120mm +1/-0mm horizontally, but with its lowest
edge not lower than the horizontal tangent.
The head restraint structure shall not allow the cylinder to pass from the front
to the rear through the head restraint structure. | | |
| The head restraint structure shall not allow the cylinder to pass from the front
Requirement to the rear through the head restraint structure. | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,3.1.1,Article 3.1.1 > Clause 3.1.1 — Front seat geometric assessment,Table (p.38),False,adce8ec3-50bf-4d89-b3a0-27b5c37eb2fe
"Article 3.1.1 > Clause 3.1.1 — Front seat geometric assessment
Table
| | | | | | | | NIC | | | +Fx | | | Fz | | | Total points | |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| High severity 0.5 0.5 0.5 1.5
Front
occupants
Mid severity 0.5 0.5 0.5 1.5 | | | | | | | | | | | | | | | | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_rear_impact_v11_92d7abc25e.pdf,,,3.1.1,Article 3.1.1 > Clause 3.1.1 — Front seat geometric assessment,Table (p.39),False,a45ff550-921b-4a1b-bda9-d84fbabb171c
